"Story","Title","Result","Date","Stability","Duration (s)"
"As User, i want to login, So that i can see my home page","As User, i want to login, So that i can see my home page","SUCCESS","2022-03-25T11:17:00.2093579+08:00[Asia/Makassar]","0.0","0.24"
"As User, i want to login, So that i can see my home page","As user, i want to login, but failed so i can't see my home page","SUCCESS","2022-03-25T11:17:00.463588+08:00[Asia/Makassar]","0.0","0.02"
