"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i want to categories product so that i can search easily","GET- as user i want to see all categories with invalid url","SUCCESS","2022-05-02T18:18:41.8970376+08:00[Asia/Makassar]","0.0","3.87"
"As a admin i want to check all my products so that i can manage","GET - As admin i have be able to get detail products","SUCCESS","2022-05-02T18:18:45.7966996+08:00[Asia/Makassar]","0.0","1.13"
