"Story","Title","Result","Date","Stability","Duration (s)"
"As User, i want to login, So that i can see my home page","As User, i want to login, So that i can see my home page","SUCCESS","2022-03-24T23:00:42.3689146+08:00[Asia/Makassar]","0.0","0.23"
"As User, i want to login, So that i can see my home page","As user, i want to login, but failed so i can't see my home page","SUCCESS","2022-03-24T23:00:42.614138+08:00[Asia/Makassar]","0.0","0.02"
